,index_ft,ik-index_ft,token_count_ft,index_nd,ik-index_nd,token_count_nd,index_do,ik-index_do,token_count_do,ratio_dialogue_text,genre_riddle,mean_literary_rating,org_lang
0,Abdolah_Koning 2,0.2656875834445928,9753,Abdolah_Koning 2 ZD,0.0,5730,Abdolah_Koning 2 AD,0.49014778325123154,4018,0.41197580231723574,Fiction,5.23214285714285,nl
1,Abdolah_Kraai 17,0.6081771720613288,9636,Abdolah_Kraai 17 ZD,0.6417322834645669,8344,Abdolah_Kraai 17 AD,0.3875,1290,0.13387297633872977,Fiction,5.90796019900497,nl
2,Adler-Olsen_VrouwInKooi 33,0.17542120911793854,9627,Adler-Olsen_VrouwInKooi 33 ZD,0.0,5310,Adler-Olsen_VrouwInKooi 33 AD,0.34235976789168276,4307,0.4473875558325543,Suspense,3.76190476190476,da
3,Ammaniti_JijEnIk 16,0.5003278688524591,9587,Ammaniti_JijEnIk 16 ZD,0.5144995322731525,6885,Ammaniti_JijEnIk 16 AD,0.4650655021834061,2697,0.28131845207051215,Fiction,5.61302681992337,it
4,Baantjer_MesInRug 23,0.3166855845629966,9588,Baantjer_MesInRug 23 ZD,0.0,3941,Baantjer_MesInRug 23 AD,0.4626865671641791,5631,0.58729662077597,Suspense,2.92086330935251,nl
5,Bakker_Omweg 40,0.14977578475336323,9724,Bakker_Omweg 40 ZD,0.0,7246,Bakker_Omweg 40 AD,0.5122699386503068,2458,0.2527766351295763,Fiction,6.1886792452830095,nl
6,Baldacci_NietsDanWaarheid 28,0.1904176904176904,9738,Baldacci_NietsDanWaarheid 28 ZD,0.0,6959,Baldacci_NietsDanWaarheid 28 AD,0.4952076677316294,2759,0.2833230642842473,Suspense,3.8761904761904704,en
7,Beijnum_SoortFamilie 96,0.08283433133732535,9904,Beijnum_SoortFamilie 96 ZD,0.0012048192771084338,8792,Beijnum_SoortFamilie 96 AD,0.47126436781609193,1106,0.11167205169628433,Fiction,5.76338514680483,nl
8,Bernlef_GeleendeLevens 31,0.2714078374455733,9877,Bernlef_GeleendeLevens ZD,0.22348484848484848,8260,Bernlef_GeleendeLevens AD,0.4233128834355828,1608,0.16280247038574466,Fiction,6.24557956777996,nl
9,Bezaz_Vinexvrouwen 23,0.5496941896024465,9668,Bezaz_Vinexvrouwen 23 ZD,0.6133828996282528,6146,Bezaz_Vinexvrouwen 23 AD,0.44532803180914515,3519,0.36398427803061645,Fiction,3.5364238410596,nl
10,Brown_AllesWatWij 82,0.14272890484739678,9872,Brown_AllesWatWij 82 ZD,0.0,7380,Brown_AllesWatWij 82 AD,0.5145631067961165,2481,0.25131685575364665,Fiction,4.230769230769231,en
11,Clancy_OgenVanVijand 116,0.26297169811320753,9711,Clancy_OgenVanVijand 116 ZD,0.004739336492890996,6920,Clancy_OgenVanVijand 116 AD,0.5163551401869159,2773,0.28555246627535785,Suspense,3.49230769230769,en
12,Coben_Levenslijn 79,0.2219959266802444,9640,Coben_Levenslijn 79 ZD,0.004357298474945534,5937,Coben_Levenslijn 79 AD,0.4114285714285714,3653,0.37894190871369293,Suspense,3.89513108614232,en
13,Cussler_Duivelsadem 176,0.1833616298811545,9800,Cussler_Duivelsadem 176 ZD,0.0024509803921568627,8254,Cussler_Duivelsadem 176 AD,0.5846994535519126,1539,0.1570408163265306,Suspense,3.37209302325581,en
14,Evans_Vergeving 86,0.116,9784,Evans_Vergeving 86 ZD,0.0,8176,Evans_Vergeving 86 AD,0.41232227488151657,1605,0.1640433360588716,Fiction,4.15767634854771,en
15,Fallon_OpManAf 29,0.13326848249027237,9762,Fallon_OpManAf 29 ZD,0.002805049088359046,7577,Fallon_OpManAf 29 AD,0.42586750788643535,2146,0.2198320016390084,Romantic,2.9074074074074,en
16,Forbes_SterfMetMij 67,0.1309931506849315,9811,Forbes_SterfMetMij 67 ZD,0.0,6602,Forbes_SterfMetMij 67 AD,0.34075723830734966,3202,0.3263683620426052,Suspense,3.8904109589041,en
17,Gastel_ZwaarVerliefd! 43,0.5951916829109811,9783,Gastel_ZwaarVerliefd! 43 ZD,0.662109375,6244,Gastel_ZwaarVerliefd! 43 AD,0.4594594594594595,3532,0.36103444751098845,Romantic,2.70285714285714,nl
18,Gerritsen_KoudHart 112,0.2846441947565543,9664,Gerritsen_KoudHart 112 ZD,0.012376237623762377,4868,Gerritsen_KoudHart 112 AD,0.44894894894894893,4785,0.49513658940397354,Suspense,3.86390532544378,en
19,Harbach_KunstVanVeldspel 147,0.13620071684587814,9786,Harbach_KunstVanVeldspel 147 ZD,0.0016611295681063123,7801,Harbach_KunstVanVeldspel 147 AD,0.4767932489451477,1978,0.20212548538728797,Fiction,5.87820512820512,en
20,Hayder_Huid 40,0.21991341991341992,9747,Hayder_Huid 40 ZD,0.0,5610,Hayder_Huid 40 AD,0.38837920489296635,4113,0.42197599261311175,Suspense,3.7261904761904705,en
21,Hollander_Naaktportret 76,0.6196610169491525,9776,Hollander_Naaktportret 76 ZD,0.6933333333333334,5815,Hollander_Naaktportret 76 AD,0.4991394148020654,3950,0.404050736497545,Suspense,3.71100917431192,nl
22,Hollander_Vluchtgedrag 79,0.7400530503978779,6975,Hollander_Vluchtgedrag 79 ZD,0.7400530503978779,6975,Hollander_Vluchtgedrag 79 AD,0.4314214463840399,2825,0.4050179211469534,Suspense,3.89733840304182,nl
23,Hollander_Zielsverwanten 54,0.26374501992031874,9684,Hollander_Zielsverwanten 54 ZD,0.1420389461626575,7039,Hollander_Zielsverwanten 54 AD,0.5390625,2639,0.2725113589425857,Suspense,3.90939597315436,nl
24,Houellebecq_KaartEnGebied,0.24009603841536614,9952,Houellebecq_KaartEnGebied 54 ZD,0.008733624454148471,6170,Houellebecq_KaartEnGebied 54 AD,0.519893899204244,3770,0.3788183279742765,Fiction,6.4096045197740095,fr
25,Jackson_ZevendeDoodzonde 137,0.07804370447450572,9822,Jackson_ZevendeDoodZonde 137 ZD,0.0,7882,Jackson_ZevendeDoodZonde 137 AD,0.3456221198156682,1908,0.19425778863775198,Suspense,3.9826086956521696,en
26,James_KleineDingen 7,0.12170753860127158,9828,James_KleineDingen 7 ZD,0.0,7962,James_KleineDingen 7 AD,0.4364820846905538,1898,0.1931216931216931,Romantic,3.53691275167785,en
27,Jonasson_100-jarigeManDie 6,0.047619047619047616,9823,Jonasson_100-jarigeManDie 6 ZD,0.0018281535648994515,9245,Jonasson_100-jarigeManDie 6 AD,0.4375,576,0.058637890664766365,Fiction,4.81346423562412,se
28,King_Gevangen 287,0.31473684210526315,9813,King_Gevangen 287 ZD,0.0027100271002710027,4489,King_Gevangen 287 AD,0.5111492281303602,5322,0.54234179150107,Suspense,4.125,en
29,Kingsbury_NooitTeLaat 74,0.11932773109243698,9840,Kingsbury_NooitTeLaat 74 ZD,0.0,7729,Kingsbury_NooitTeLaat 74 AD,0.461038961038961,2106,0.21402439024390243,Fiction,3.46666666666666,en
30,Kinsella_WatSpookJij 57,0.5196078431372549,9633,Kinsella_WatSpookJij 57 ZD,0.5637813211845103,5889,Kinsella_WatSpookJij 57 AD,0.45871559633027525,3611,0.3748572614969376,Romantic,2.62946428571428,en
31,Koch_ZomerhuisMetZwembad 56,0.5577586206896552,9838,Koch_ZomerhuisMetZwembad 56 ZD,0.5756035578144854,6663,Koch_ZomerhuisMetZwembad 56 AD,0.5132978723404256,3169,0.3221183167310429,Fiction,5.08507670850767,nl
32,Koryta_Begraven 102,0.4725868725868726,9742,Koryta_Begraven 102 ZD,0.5073349633251834,6833,Koryta_Begraven 102 AD,0.4100418410041841,2906,0.2982960377745843,Suspense,4.16842105263157,en
33,Lackberg_SneeuwstormEnAmandelgeur 24,0.1655306718597858,9843,Lackberg_SneeuwstormEnAmandelgeur 24 ZD,0.5263157894736842,2678,Lackberg_SneeuwstormEnAmandelgeur 24 AD,0.0,7155,0.7269125266686985,Suspense,4.08045977011494,se
34,Larsson_VrouwDieMet 247,0.20396270396270397,9728,Larsson_VrouwDieMet 247 ZD,0.013392857142857142,5458,Larsson_VrouwDieMet 247 AD,0.41019417475728154,4269,0.4388363486842105,Suspense,4.04107830551989,se
35,Lewinsky_LotVanFamilie 306,0.1988235294117647,9770,Lewinsky_LotVanFamilie 306 ZD,0.1506849315068493,8264,Lewinsky_LotVanFamilie 306 AD,0.358974358974359,1495,0.15301944728761516,Fiction,5.71598414795244,de
36,Mankell_GekweldeMan 164,0.29743164871582434,9725,Mankell_GekweldeMan 164 ZD,0.0,4753,Mankell_GekweldeMan 164 AD,0.4786666666666667,4970,0.5110539845758355,Suspense,4.76612903225806,se
37,Mastras_TranenOverKashmir 12,0.1264222503160556,9846,Mastras_TranenOverKashmir 12 ZD,0.0,7796,Mastras_TranenOverKashmir 12 AD,0.4366812227074236,2045,0.20769855778996546,Fiction,4.79310344827586,en
38,Middelbeek_Turbulentie,0.5073472544470224,9692,Middelbeek_Turbulentie 6 ZD,0.5232843137254902,6107,Middelbeek_Turbulentie 6 AD,0.4780793319415449,3542,0.36545604622368966,Romantic,2.83333333333333,nl
39,Montefiore_Affaire 35,0.28503937007874014,9644,Montefiore_Affaire 35 ZD,0.0,4579,Montefiore_Affaire 35 AD,0.5006915629322268,5058,0.5244711737868104,Romantic,3.2061855670103,en
40,Mortier_GestameldLiedboek 5,0.4097165991902834,9792,Mortier_GestameldLiedboek 5 ZD,0.41160949868073876,9112,Mortier_GestameldLiedboek 5 AD,0.38,675,0.06893382352941177,Fiction,6.54086956521739,nl
41,Neill_VriendschapLiefdeEn 65,0.17184265010351968,9777,Neill_VriendschapLiefdeEn 65 ZD,0.0,7197,Neill_VriendschapLiefdeEn 65 AD,0.4812680115273775,2524,0.25815689884422627,Romantic,3.45454545454545,en
42,Nesbo_Schim 22,0.27058823529411763,9901,Nesbo_Schim 22 ZD,0.2570888468809074,6312,Nesbo_Schim 22 AD,0.29102167182662536,3592,0.36279163720836277,Suspense,4.16797900262467,no
43,Patterson_Hitte 75,0.5682382133995038,9660,Patterson_Hitte 75 ZD,0.6211901306240929,5798,Patterson_Hitte 75 AD,0.4952015355086372,3851,0.3986542443064182,Suspense,3.5375,en
44,Pauw_Daglicht 37,0.5310693641618497,9667,Pauw_Daglicht 37 ZD,0.6207827260458839,5156,Pauw_Daglicht 37 AD,0.4263565891472868,4504,0.4659149684493638,Suspense,3.97260273972602,nl
45,Rijn_LastMinute 21,0.13266162888329136,9760,Rijn_LastMinute 21 ZD,0.0,7865,Rijn_LastMinute 21 AD,0.5337837837837838,1888,0.19344262295081968,Suspense,3.32019704433497,nl
46,Rose_MoordVoorMij 16,0.22070844686648503,9696,Rose_MoordVoorMij 16 ZD,0.003875968992248062,5568,Rose_MoordVoorMij 16 AD,0.4122657580919932,4086,0.4214108910891089,Suspense,3.7482993197278898,en
47,Rosenfeldt_WatVerborgenIs 28,0.13833157338965152,9766,Rosenfeldt_WatVerborgenIs 28 ZD,0.0047169811320754715,7529,Rosenfeldt_WatVerborgenIs 28 AD,0.40894568690095845,2227,0.22803604341593284,Suspense,4.12616822429906,se
48,Rosnay_DieLaatsteZomer 9,0.25853658536585367,9713,Rosnay_DieLaatsteZomer 9 ZD,0.1729667812142039,7167,Rosnay_DieLaatsteZomer 9 AD,0.46518105849582175,2540,0.2615051992175435,Fiction,4.59459459459459,en
49,Royen_Mannentester 7,0.4718772826880935,9754,Royen_Mannentester 7 ZD,0.4740450538687561,7507,Royen_Mannentester 7 AD,0.4602272727272727,2251,0.23077711708017223,Fiction,3.17972350230414,nl
50,RuizZafon_SpelVanEngel 155,0.6778761061946903,9681,RuizZafon_SpelVanEngel 155 ZD,0.6843971631205674,6917,RuizZafon_SpelVanEngel 155 AD,0.6538461538461539,2764,0.2855076954860035,Fiction,5.65797546012269,sp
51,Smith_OpVolleZee 114,0.26977248104008666,9790,Smith_OpVolleZee 114 ZD,0.0,5103,Smith_OpVolleZee 114 AD,0.453551912568306,4678,0.47783452502553625,Suspense,3.656,en
52,Stevens_Vermist 114,0.5638095238095238,9732,Stevens_Vermist 114 ZD,0.6120283018867925,5091,Stevens_Vermist 114 AD,0.5081967213114754,4623,0.4750308261405672,Suspense,4.1796875,en
53,Stockett_Keukenmeidenroman 87,0.5678899082568807,9779,Stockett_Keukenmeidenroman 87 ZD,0.5601023017902813,7374,Stockett_Keukenmeidenroman 87 AD,0.5838709677419355,2399,0.24532160752633195,Fiction,4.95323246217331,en
54,Verhoef_Close-up 84,0.5681818181818182,9670,Verhoef_Close-up 84 ZD,0.6027227722772277,5790,Verhoef_Close-up 84 AD,0.5152603231597845,3875,0.40072388831437433,Suspense,3.6742857142857104,nl
55,Verhoef_Tegenlicht 32,0.49880287310454907,9697,Verhoef_Tegenlicht 32 ZD,0.5168918918918919,7076,Verhoef_Tegenlicht 32 AD,0.45231607629427795,2614,0.26956790760028876,Fiction,4.20461095100864,nl
56,Vlugt_Herfstlied 19,0.2548687552921253,9723,Vlugt_Herfstlied 19 ZD,0.07261724659606657,5951,Vlugt_Herfstlied 19 AD,0.4846743295019157,3767,0.38743186259384965,Suspense,4.003333333333329,nl
57,Voskuijl_Dorp 41,0.3810483870967742,9698,Voskuijl_Dorp 41 ZD,0.26956521739130435,6089,Voskuijl_Dorp 41 AD,0.5322195704057279,3848,0.3967828418230563,Suspense,5.5208333333333295,nl
58,Wieringa_Caesarion 57,0.4602929838087895,9879,Wieringa_Caesarion 57 ZD,0.45417925478348437,7427,Wieringa_Caesarion 57 AD,0.47019867549668876,2440,0.24698856159530316,Fiction,6.20282413350449,nl
59,Winter_RechtOpTerugkeer 128,0.2547683923705722,9740,Winter_RechtOpTerugkeer 128 ZD,0.0,6438,Winter_RechtOpTerugkeer 128 AD,0.4617283950617284,3300,0.33880903490759756,Fiction,5.752688172043009,nl
